,alpha0,alpha1,alpha2,alpha3,alpha4
0,0.16609718389956482,68.82674028242968,-2620.3930874843536,0.0,0.0
1,0.48259261476868304,22.671768521621765,-1028.1897389791293,0.0,0.0
2,0.8324681644088477,-22.973780105377152,392.43919442509707,0.0,0.0
3,0.5783495771445657,-5.773206926579039,100.4428898088589,0.0,0.0
4,0.359359991631539,5.333163818137059,-40.367539407641175,0.0,0.0
5,0.312602413532839,7.101459454622661,-56.88079828575712,0.0,0.0
6,0.5196726947122574,-0.5090025379542252,12.960843415980683,0.0,0.0
7,0.34745268459931694,4.485834230566325,-23.231238129654834,0.0,0.0
8,0.19381087781818873,8.663930735648353,-51.6291147363789,0.0,0.0
9,0.6566821036416269,-1.701044182879002,6.325162945886672,0.0,0.0
10,-0.9747973177509489,32.83752246780224,-176.484956645481,0.0,0.0
11,1.1178873194144856,-6.0170135123336275,3.7104659835207374,0.0,0.0
12,-0.10834483961188242,15.705376141571753,-92.50762946379967,0.0,0.0
13,1.4384216518439334,-8.187204954545855,-0.3707706078726846,0.0,0.0
14,1.7029846457967803,-11.293417101915766,7.923076941529233,0.0,0.0
15,0.04226687607711424,12.119923370082283,-74.60119973036262,0.0,0.0
16,-3.125921348559743,53.07559541253285,-206.91864450826955,0.0,0.0
17,634.4779906414589,-7878.527417435253,24459.38949547308,0.0,0.0
18,56231.4905677515,-672406.0764458904,2009894.356653041,0.0,0.0
19,-73976.18347092514,823873.6748143642,-2288019.8482892606,0.0,0.0
