t;p
0;97200,0000
10;12400,0000
20;1100,0000
30;150,0000
40;46,0000
50;25,0000
60;18,7000
70;16,0000
80;14,3000
90;13,1000
100;12,2000
110;11,4000
120;10,8000
130;10,2000
140;9,7000
150;9,2000
160;8,9300
170;8,5900
180;8,2800
190;8,0000
200;7,7200
210;7,4700
220;7,2400
230;7,0200
240;6,8500
250;6,7300
260;6,6700
270;6,6300
330;7,1400
360;7,7500
390;8,3400
420;8,8400
450;9,1200
480;9,1800
510;9,0400
540;8,7200
570;8,2800
600;7,8100
630;7,4100
660;7,6200
690;7,1300
720;6,7300
780;6,0600
840;4,0000
900;0,2800
960;0,0600
1020;0,0600
1080;0,0520
1140;0,0180
1200;0,0160
1260;0,0147
1320;0,0127
1380;0,0113
1440;0,0107
1500;0,0100
1560;0,0093
1620;0,0087
1680;0,0080
1740;0,0080
1800;0,0073
1860;0,0067
1920;0,0067
1980;0,0067
2040;0,0060
2100;0,0060
2160;0,0060
2220;0,0060
2280;0,0060
2340;0,0053
2400;0,0053
2460;0,0053
2520;0,0053
2580;0,0053
2640;0,0048
2700;0,0048
2760;0,0047
2820;0,0045
2880;0,0045
2940;0,0045
3000;0,0043
3060;0,0041
3120;0,0041
3180;0,0041
3240;0,0040
3300;0,0040
3360;0,0039
3420;0,0039
3480;0,0039
3540;0,0039
3600;0,0039
